English,Definition (English),Definition(Hausa),Hausa,Region
Ribs,"A series of slender curved bones articulated in pairs to the spine (twelve pairs in humans), protecting the thoracic cavity and its organs.",Wasu siraran ƙasusuwa guda 12 waɗanda ke haɗa kashin kirji da kashin baya domin kare abubuwan da ke cikin kirjin.,Haƙar'ari,Thoracic cavity
Lungs,"The foundational organs of the respiratory system, whose most basic function is to facilitate gas exchange from the environment into the bloodstream.",Wani sashe na jiki dake taimakawa numfashi. Shi ne wurin da ake cire CO2 daga kwayoyin halitan jini ake sa O2 dan a turawa ragowar jikin.,Hunhu,Thoracic cavity
Kidney,The organ responsible for filtering and removing waste and water from the body. Alsohelps with balancing electrolyte concentrations in the body.,"Wani sashe na jiki da ke taimakaway a wajen tace ƙazantar da ruwa da za'a fitar ta hanyar fitsari, da kuma daidaita su electrolytes din cikin jiki",ƙoda,"Abdominal cavital, retroperitoneal cavity"
Liver,The organ responsible for filtering the blood and secrting bile to aid in food digestion.,Wani sashe na jiki da ke tace jini kuma yake taimakawa a wajen zubar da sinadarin bile domin narkar da abinci.,Hanta,"Abdominal cavity, peritoneal cavity"
Leg,The limbs in the lower limb between the knee and ankles.   ,Gaɓar kasan jiki wanda yake tsakanin gwiwar ƙafa da idon sawu.,ƙafa,Lower body
Thigh,The limbs in the lower body between the hipand the knee.,Gaɓar kasan jiki wanda yake tsakanin ƙugu da gwiwar ƙafa,Cinya,Lower body
Palm,The central portion of the inner surface of the hand. The skin for this section of the hand is thicker.,"Tsakiyar hannu, inda fatar wurin tafi ko ina kawri a hannun.",Tafin hanu,Upper body
Palmar Foot,The bottom of the foot. The skin for this portion of the foot is thicker.,"ƙasan kafa, inda fatar wurin tafi kawri a duka kafar",Tafin ƙafa,Lower body
Marrow,"A soft fatty substance in the cavities of bones, in which blood cells are produced",Wani ruwa a cikin ƙashi da ke haifar da kwayoyin halitun da suke zama jini ,Laka ,Multiple Locations
Heart,A highly muscular organ found in the center of the chest (sligltly to the left) which pumps oxygenated blood to the systemic circulation and deoxygenated blood to the lungs to get oxygenated. ,Wani sashe na jiki a tsakiyar kirji mai tura jini mai sinadirin Oxygen zuwa ragowan mangarorin jiki kuma yake tura jini marasa Oxygen zuwa hunhun.,Zuciya,Thoracic cavity
Throat,,,Makogwaro,Neck
Lip,,,Leɓe,"Head, mouth"
Tongue,,,Harshe,"Head, mouth"
Tooth,,,Haƙori,"Head, mouth"
Nose,,,Hanci,Head 
Eye,,,Ido,Head
Eye Brow,,,Gira,Head
Lashes,,,Gashin Ido,Head
Ear,,,Kunne,Head 
Bone,,,ƙashi,Multiple Locations
Knee,,,Gwiwar ƙafa,Lower body
Elbow,,,Gwiwar hannu,Upper body
Skin,,,Fata,Multiple Locations
Hair,,,Gashi,Multiple Locations
Nail,,,Farce,"Upper body, Lower body"
Wrist,,,Wuyan hannu,Upper body
Ankle,,,Idon sawu/idon ƙafa,Lower body
Shoulder,,,Kafata,Upper body
Hip,,,ƙugu,Lower body
Chest,,,ƙirji,Thoracic cavity
Breast,,,Nono,Thoracic cavity
Abdomen,,,Tumbi/ Na ciki,Abdominal cavity
Back,,,Baya,Back
Spine,,,ƙashin baya,Back
Skull,,,ƙoƙon kai,Head
Forehead,,,Goshi,Head
Cheek,,,Kumatu,Head
Chin,,,Haɓa,Head
Toes,,,Yatsun ƙafa,Lower body
Finger,,,Yatsa,Upper Body
Blood,,,Jini,Fluids & Tissue
Saliva,,,Yawu,Fluids & Tissue
Sweat,,,Gumi,Fluids & Tissue
Sputum,,,Kaki,Fluids & Tissue
Urine,,,Fitsari,Fluids & Tissue
Lymph,,,Ruwan Jijiya,Fluids & Tissue
Brain,,,Kwakwalwa,Head
Stomach,,,Ciki,Abdominal cavity
Small intestine,,,ƙaramin hanji,Abdominal cavity
Large intestine,,,Uwar hanji,Abdominal cavity
Bladder,,,Mafitsara,Abdominal cavity
Uterus,,,Mahaifa,"Abdominal cavity, reproductive system"
Ovary,,,,"Abdominal cavity, reproductive system"
Testis,,,Maraina,Reproductive system
Penis,,,Azzakari,Reproductive system
Pancreas,,,Fankiris,Abdominal cavity
Spleen,,,Saifa,Abdominal cavity
Gallbladder,,,Maɗaciya/ Patsarmama,Abdominal cavity
Pharynx,,,,Neck
Larynx,,,,Neck
Esophagus,,Bututu dake tura abinci daga makogwaro zuwa tunbi,,Neck
Trachea (Windpipe),,Bututu dake tura iska daga makogwaro zuwa hunhu,,Neck
Uvula,,,Tantani Makwallato,Neck
Bronchi,,,,Thoracic cavity
Diaphragm,The dome-shaped muscle separating the thorax from the abdomen in mammals,Wani tsoka dake raba kirji da ciki kuma yake taimakawa numfashi,,Thoracic cavity
Rectum,The final section of the large intestine,,,Abdominal cavity
Anus,,,Dubura,Lower body
Prostate,,,,Reproductive system
Private Parts,,,Al'aura,Reproductive system
Vagina,,,Farji,Reproductive system
Clitoris,,,Ɗan tsaka,Reproductive system
Cervix,The narrow passage forming the lower end of the uterus.,,,Reproductive system
Placenta,,,Mahaifa,"Abdominal cavity, Reproductive system"
Umbilical cord,,,Igiyar cibi/ igiyar cibiya,Abdominal cavity
Cartilage,,,,Multiple locations
Tendon,,,Kitse,Multiple locations
Ligament,,,Jijiya,Multiple locations
Muscle,,,Tsoka,Multiple locations
Artery,,,Jijiyar tafiya da jini,Multiple locations
Vein,,,Jijiyar dawo da jini,Multiple locations
Capillary,,,ƙaramin Bututun Jini,Multiple locations
Nerve,,,Jijiya,Multiple locations
Joint,,,Gaɓoɓi,Multiple locations
Limbs,,,,"Upper body, Lower body"
Fat,,,Kitse,Multiple locations
Tube,,,Bututu,Descriptive Terms
Spinal cord,,,Jijiyar ƙashin Baya,Back
Appendix,"A small, finger-like pouch attached to the large intestine",Wani bututu dake ƙarshen babban hanji,,Abdominal cavity
Peritoneum,"A continuous, thin, smooth membrane that lines the abdominal and pelvic cavities and covers the organs within them",Wani nama da yake saman kayan ciki da ƙashin kwankwaso,,Abdominal cavity
Urinary System,,,Mataciyar Fitsari,Systems
Skeletal System,,,Kwanrangwal Din Jiki,Systems
Nervous Sytem,,,Tsari na Kawkwalwa da Jijiyoyin Ta,Systems
Cardiovascular System,,,Tsari na Zuciya da Jini,Systems
Respitory System,,,Tsari na Numfashi,Systems
Digestive System,,,Tsari na Sarrafa Abinci,Systems
Reproductive System,,,Tsari na Halittun Haihuwa,Systems
Endocrine System,,,Tsari na Endocrine,Systems
Integumentary System," The body's outer covering, primarily composed of skin, hair, nails, and associated glands",,"Tsari na su fata, farce, da gashi",Systems
Lymphatic System,,,Tsari na Kariya,Systems
Cells,,,ƙwayoyin halitta,"Multiple Locations, Descriptive Terms"
Cancer,,,"Ciwon kansa, ciwon daji",Disease
"Chemical, Substance, Nutrient",,,Sinadari,Descriptive Terms
Protein,,,Furotin,Tissue Componenets
Sleep,,,Barci,Condition